name,data_size,seed,avg_node_size
out_place_n0,1340000,2,4112
out_place_n0,1350000,2,3992
out_place_n0,1360000,2,3999
out_place_n0,1370000,2,3926
out_place_n0,1380000,2,3848
out_place_n0,1390000,2,3786
out_place_n0,1400000,2,3790
out_place_n0,1410000,2,3675
out_place_n0,1420000,2,3639
out_place_n0,1430000,2,3603
out_place_n0,1440000,2,3614
out_place_n0,1450000,2,3602
out_place_n0,1460000,2,3539
out_place_n0,1470000,2,3543
out_place_n0,1480000,2,3485
out_place_n0,1490000,2,3487
out_place_n0,1500000,2,3459
out_place_n0,1510000,2,3418
out_place_n0,1520000,2,3412
out_place_n0,1530000,2,3385
out_place_n0,1540000,2,3360
out_place_n0,1550000,2,3340
out_place_n0,1560000,2,3290
out_place_n0,1570000,2,3240
out_place_n0,1580000,2,3189
out_place_n0,1590000,2,3197
out_place_n0,1600000,2,3182
out_place_n0,1610000,2,3167
out_place_n0,1620000,2,3170
out_place_n0,1630000,2,3139
out_place_n0,1640000,2,3109
out_place_n0,1650000,2,3115
out_place_n0,1660000,2,3109
out_place_n0,1670000,2,3081
out_place_n0,1680000,2,3100
out_place_n0,1690000,2,3071
out_place_n0,1700000,2,3074
out_place_n0,1710000,2,3062
out_place_n0,1720000,2,3018
out_place_n0,1730000,2,3015
out_place_n0,1740000,2,3009
out_place_n0,1750000,2,3015
out_place_n0,1760000,2,2964
out_place_n0,1770000,2,2958
out_place_n0,1780000,2,2960
out_place_n0,1790000,2,2957
out_place_n0,1800000,2,2953
out_place_n0,1810000,2,2937
out_place_n0,1820000,2,2926
out_place_n0,1830000,2,2930
out_place_n0,1840000,2,2916
out_place_n0,1850000,2,2917
out_place_n0,1860000,2,2929
out_place_n0,1870000,2,2916
out_place_n0,1880000,2,2919
out_place_n0,1890000,2,2910
out_place_n0,1900000,2,2905
out_place_n0,1910000,2,2903
out_place_n0,1920000,2,2915
out_place_n0,1930000,2,2913
out_place_n0,1940000,2,2928
out_place_n0,1950000,2,2918
out_place_n0,1960000,2,2926
out_place_n0,1970000,2,2931
out_place_n0,1980000,2,2927
out_place_n0,1990000,2,2927
out_place_n0,2000000,2,2914
out_place_n2,1000000,2,24384
out_place_n2,1010000,2,23930
out_place_n2,1020000,2,23628
out_place_n2,1030000,2,23860
out_place_n2,1040000,2,24662
out_place_n2,1050000,2,19020
out_place_n2,1060000,2,19881
out_place_n2,1070000,2,17150
out_place_n2,1080000,2,19208
out_place_n2,1090000,2,18660
out_place_n2,1100000,2,19171
out_place_n2,1110000,2,17811
out_place_n2,1120000,2,18553
out_place_n2,1130000,2,17815
out_place_n2,1140000,2,19525
out_place_n2,1150000,2,24353
out_place_n2,1160000,2,22208
out_place_n2,1170000,2,21164
out_place_n2,1180000,2,20228
out_place_n2,1190000,2,21523
out_place_n2,1200000,2,22961
out_place_n2,1210000,2,21879
out_place_n2,1220000,2,22884
out_place_n2,1230000,2,20054
out_place_n2,1240000,2,20244
out_place_n2,1250000,2,20389
out_place_n2,1260000,2,19312
out_place_n2,1270000,2,20051
out_place_n2,1280000,2,20875
out_place_n2,1290000,2,18881
out_place_n2,1300000,2,18741
out_place_n2,1310000,2,19728
out_place_n2,1320000,2,19303
out_place_n2,1330000,2,20665
out_place_n2,1340000,2,20175
out_place_n2,1350000,2,19175
out_place_n2,1360000,2,17110
out_place_n2,1370000,2,17687
out_place_n2,1380000,2,19048
out_place_n2,1390000,2,20329
out_place_n2,1400000,2,21426
out_place_n2,1410000,2,20032
out_place_n2,1420000,2,21386
out_place_n2,1430000,2,20914
out_place_n2,1440000,2,21669
out_place_n2,1450000,2,21497
out_place_n2,1460000,2,19359
out_place_n2,1470000,2,19467
out_place_n2,1480000,2,20432
out_place_n2,1490000,2,21786
out_place_n2,1500000,2,20426
out_place_n2,1510000,2,20011
out_place_n2,1520000,2,21902
out_place_n2,1530000,2,20043
out_place_n2,1540000,2,18439
out_place_n2,1550000,2,17916
out_place_n2,1560000,2,18460
out_place_n2,1570000,2,19288
out_place_n2,1580000,2,18709
out_place_n2,1590000,2,18174
out_place_n2,1600000,2,17497
out_place_n2,1610000,2,17778
out_place_n2,1620000,2,17503
out_place_n2,1630000,2,16050
out_place_n2,1640000,2,16798
out_place_n2,1650000,2,17267
out_place_n2,1660000,2,19174
out_place_n2,1670000,2,19092
out_place_n2,1680000,2,19894
out_place_n2,1690000,2,19110
out_place_n2,1700000,2,19432
out_place_n2,1710000,2,18089
out_place_n2,1720000,2,16955
out_place_n2,1730000,2,18299
out_place_n2,1740000,2,17316
out_place_n2,1750000,2,18326
out_place_n2,1760000,2,18440
out_place_n2,1770000,2,20013
out_place_n2,1780000,2,19902
out_place_n2,1790000,2,20212
out_place_n2,1800000,2,19881
out_place_n2,1810000,2,20445
out_place_n2,1820000,2,20573
out_place_n2,1830000,2,20241
out_place_n2,1840000,2,18866
out_place_n2,1850000,2,20908
out_place_n2,1860000,2,21535
out_place_n2,1870000,2,21126
out_place_n2,1880000,2,20999
out_place_n2,1890000,2,19998
out_place_n2,1900000,2,19280
out_place_n2,1910000,2,19982
out_place_n2,1920000,2,19673
out_place_n2,1930000,2,19754
out_place_n2,1940000,2,20780
out_place_n2,1950000,2,21570
out_place_n2,1960000,2,20315
out_place_n2,1970000,2,23331
out_place_n2,1980000,2,22915
out_place_n2,1990000,2,21085
out_place_n2,2000000,2,20950
out_place_n8,1000000,2,24384
out_place_n8,1010000,2,26507
out_place_n8,1020000,2,26088
out_place_n8,1030000,2,24441
out_place_n8,1040000,2,24668
out_place_n8,1050000,2,23762
out_place_n8,1060000,2,21976
out_place_n8,1070000,2,27315
out_place_n8,1080000,2,26892
out_place_n8,1090000,2,25246
out_place_n8,1100000,2,23332
out_place_n8,1110000,2,24589
out_place_n8,1120000,2,27223
out_place_n8,1130000,2,23479
out_place_n8,1140000,2,24146
out_place_n8,1150000,2,25465
out_place_n8,1160000,2,24621
out_place_n8,1170000,2,24295
out_place_n8,1180000,2,25036
out_place_n8,1190000,2,24731
out_place_n8,1200000,2,23477
out_place_n8,1210000,2,24607
out_place_n8,1220000,2,21321
out_place_n8,1230000,2,23118
out_place_n8,1240000,2,26274
out_place_n8,1250000,2,24476
out_place_n8,1260000,2,23270
out_place_n8,1270000,2,25865
out_place_n8,1280000,2,23208
out_place_n8,1290000,2,22952
out_place_n8,1300000,2,23129
out_place_n8,1310000,2,24650
out_place_n8,1320000,2,23079
out_place_n8,1330000,2,23253
out_place_n8,1340000,2,23468
out_place_n8,1350000,2,22458
out_place_n8,1360000,2,23814
out_place_n8,1370000,2,23940
out_place_n8,1380000,2,23280
out_place_n8,1390000,2,23463
out_place_n8,1400000,2,22491
out_place_n8,1410000,2,23082
out_place_n8,1420000,2,24011
out_place_n8,1430000,2,23356
out_place_n8,1440000,2,23509
out_place_n8,1450000,2,24505
out_place_n8,1460000,2,24251
out_place_n8,1470000,2,24003
out_place_n8,1480000,2,25394
out_place_n8,1490000,2,23210
out_place_n8,1500000,2,22996
out_place_n8,1510000,2,22452
out_place_n8,1520000,2,24023
out_place_n8,1530000,2,22102
out_place_n8,1540000,2,23615
out_place_n8,1550000,2,23038
out_place_n8,1560000,2,21548
out_place_n8,1570000,2,25175
out_place_n8,1580000,2,23145
out_place_n8,1590000,2,22634
out_place_n8,1600000,2,24918
out_place_n8,1610000,2,23936
out_place_n8,1620000,2,23030
out_place_n8,1630000,2,22219
out_place_n8,1640000,2,25126
out_place_n8,1650000,2,24562
out_place_n8,1660000,2,24315
out_place_n8,1670000,2,24858
out_place_n8,1680000,2,24999
out_place_n8,1690000,2,24768
out_place_n8,1700000,2,27329
out_place_n8,1710000,2,25436
out_place_n8,1720000,2,27652
out_place_n8,1730000,2,24605
out_place_n8,1740000,2,27529
out_place_n8,1750000,2,26043
out_place_n8,1760000,2,24387
out_place_n8,1770000,2,24854
out_place_n8,1780000,2,24627
out_place_n8,1790000,2,25496
out_place_n8,1800000,2,23946
out_place_n8,1810000,2,26513
out_place_n8,1820000,2,25522
out_place_n8,1830000,2,25004
out_place_n8,1840000,2,23491
out_place_n8,1850000,2,26741
out_place_n8,1860000,2,25403
out_place_n8,1870000,2,25513
out_place_n8,1880000,2,27565
out_place_n8,1890000,2,25845
